ts,qArr,instArr,startEx,endEx,flops
4.032000,4.000000,4.000000,4.000000,4.032000,32000000.000000
7.032000,7.000000,7.000000,7.000000,7.032000,32000000.000000
10.032000,10.000000,10.000000,10.000000,10.032000,32000000.000000
13.032000,13.000000,13.000000,13.000000,13.032000,32000000.000000
16.032000,16.000000,16.000000,16.000000,16.032000,32000000.000000
19.032000,19.000000,19.000000,19.000000,19.032000,32000000.000000
22.032000,22.000000,22.000000,22.000000,22.032000,32000000.000000
25.032000,25.000000,25.000000,25.000000,25.032000,32000000.000000
28.032000,28.000000,28.000000,28.000000,28.032000,32000000.000000
31.032000,31.000000,31.000000,31.000000,31.032000,32000000.000000
34.032000,34.000000,34.000000,34.000000,34.032000,32000000.000000
37.032000,37.000000,37.000000,37.000000,37.032000,32000000.000000
40.032000,40.000000,40.000000,40.000000,40.032000,32000000.000000
43.032000,43.000000,43.000000,43.000000,43.032000,32000000.000000
46.032000,46.000000,46.000000,46.000000,46.032000,32000000.000000
49.032000,49.000000,49.000000,49.000000,49.032000,32000000.000000
52.032000,52.000000,52.000000,52.000000,52.032000,32000000.000000
55.032000,55.000000,55.000000,55.000000,55.032000,32000000.000000
58.032000,58.000000,58.000000,58.000000,58.032000,32000000.000000
61.032000,61.000000,61.000000,61.000000,61.032000,32000000.000000
64.032000,64.000000,64.000000,64.000000,64.032000,32000000.000000
67.032000,67.000000,67.000000,67.000000,67.032000,32000000.000000
70.032000,70.000000,70.000000,70.000000,70.032000,32000000.000000
73.032000,73.000000,73.000000,73.000000,73.032000,32000000.000000
76.032000,76.000000,76.000000,76.000000,76.032000,32000000.000000
79.032000,79.000000,79.000000,79.000000,79.032000,32000000.000000
82.032000,82.000000,82.000000,82.000000,82.032000,32000000.000000
85.032000,85.000000,85.000000,85.000000,85.032000,32000000.000000
88.032000,88.000000,88.000000,88.000000,88.032000,32000000.000000
91.032000,91.000000,91.000000,91.000000,91.032000,32000000.000000
94.032000,94.000000,94.000000,94.000000,94.032000,32000000.000000
97.032000,97.000000,97.000000,97.000000,97.032000,32000000.000000
100.032000,100.000000,100.000000,100.000000,100.032000,32000000.000000
103.032000,103.000000,103.000000,103.000000,103.032000,32000000.000000
106.032000,106.000000,106.000000,106.000000,106.032000,32000000.000000
109.032000,109.000000,109.000000,109.000000,109.032000,32000000.000000
112.032000,112.000000,112.000000,112.000000,112.032000,32000000.000000
115.032000,115.000000,115.000000,115.000000,115.032000,32000000.000000
118.032000,118.000000,118.000000,118.000000,118.032000,32000000.000000
121.032000,121.000000,121.000000,121.000000,121.032000,32000000.000000
124.032000,124.000000,124.000000,124.000000,124.032000,32000000.000000
127.032000,127.000000,127.000000,127.000000,127.032000,32000000.000000
130.032000,130.000000,130.000000,130.000000,130.032000,32000000.000000
133.032000,133.000000,133.000000,133.000000,133.032000,32000000.000000
136.032000,136.000000,136.000000,136.000000,136.032000,32000000.000000
139.032000,139.000000,139.000000,139.000000,139.032000,32000000.000000
142.032000,142.000000,142.000000,142.000000,142.032000,32000000.000000
145.032000,145.000000,145.000000,145.000000,145.032000,32000000.000000
148.032000,148.000000,148.000000,148.000000,148.032000,32000000.000000
151.032000,151.000000,151.000000,151.000000,151.032000,32000000.000000
154.032000,154.000000,154.000000,154.000000,154.032000,32000000.000000
157.032000,157.000000,157.000000,157.000000,157.032000,32000000.000000
160.032000,160.000000,160.000000,160.000000,160.032000,32000000.000000
163.032000,163.000000,163.000000,163.000000,163.032000,32000000.000000
166.032000,166.000000,166.000000,166.000000,166.032000,32000000.000000
169.032000,169.000000,169.000000,169.000000,169.032000,32000000.000000
172.032000,172.000000,172.000000,172.000000,172.032000,32000000.000000
175.032000,175.000000,175.000000,175.000000,175.032000,32000000.000000
178.032000,178.000000,178.000000,178.000000,178.032000,32000000.000000
181.032000,181.000000,181.000000,181.000000,181.032000,32000000.000000
184.032000,184.000000,184.000000,184.000000,184.032000,32000000.000000
187.032000,187.000000,187.000000,187.000000,187.032000,32000000.000000
190.032000,190.000000,190.000000,190.000000,190.032000,32000000.000000
193.032000,193.000000,193.000000,193.000000,193.032000,32000000.000000
196.032000,196.000000,196.000000,196.000000,196.032000,32000000.000000
199.032000,199.000000,199.000000,199.000000,199.032000,32000000.000000
202.032000,202.000000,202.000000,202.000000,202.032000,32000000.000000
205.032000,205.000000,205.000000,205.000000,205.032000,32000000.000000
208.032000,208.000000,208.000000,208.000000,208.032000,32000000.000000
211.032000,211.000000,211.000000,211.000000,211.032000,32000000.000000
214.032000,214.000000,214.000000,214.000000,214.032000,32000000.000000
217.032000,217.000000,217.000000,217.000000,217.032000,32000000.000000
220.032000,220.000000,220.000000,220.000000,220.032000,32000000.000000
223.032000,223.000000,223.000000,223.000000,223.032000,32000000.000000
226.032000,226.000000,226.000000,226.000000,226.032000,32000000.000000
229.032000,229.000000,229.000000,229.000000,229.032000,32000000.000000
232.032000,232.000000,232.000000,232.000000,232.032000,32000000.000000
235.032000,235.000000,235.000000,235.000000,235.032000,32000000.000000
238.032000,238.000000,238.000000,238.000000,238.032000,32000000.000000
241.032000,241.000000,241.000000,241.000000,241.032000,32000000.000000
244.032000,244.000000,244.000000,244.000000,244.032000,32000000.000000
247.032000,247.000000,247.000000,247.000000,247.032000,32000000.000000
250.032000,250.000000,250.000000,250.000000,250.032000,32000000.000000
253.032000,253.000000,253.000000,253.000000,253.032000,32000000.000000
256.032000,256.000000,256.000000,256.000000,256.032000,32000000.000000
259.032000,259.000000,259.000000,259.000000,259.032000,32000000.000000
262.032000,262.000000,262.000000,262.000000,262.032000,32000000.000000
265.032000,265.000000,265.000000,265.000000,265.032000,32000000.000000
268.032000,268.000000,268.000000,268.000000,268.032000,32000000.000000
271.032000,271.000000,271.000000,271.000000,271.032000,32000000.000000
274.032000,274.000000,274.000000,274.000000,274.032000,32000000.000000
277.032000,277.000000,277.000000,277.000000,277.032000,32000000.000000
280.032000,280.000000,280.000000,280.000000,280.032000,32000000.000000
283.032000,283.000000,283.000000,283.000000,283.032000,32000000.000000
286.032000,286.000000,286.000000,286.000000,286.032000,32000000.000000
289.032000,289.000000,289.000000,289.000000,289.032000,32000000.000000
292.032000,292.000000,292.000000,292.000000,292.032000,32000000.000000
295.032000,295.000000,295.000000,295.000000,295.032000,32000000.000000
