ts,qArr,instArr,startEx,endEx,flops
0.499000,0.462000,0.462000,0.462000,0.499000,32000000.000000
0.526000,0.489000,0.489000,0.489000,0.526000,32000000.000000
0.763000,0.731000,0.731000,0.731000,0.763000,32000000.000000
0.912000,0.880000,0.880000,0.880000,0.912000,32000000.000000
1.251000,1.219000,1.219000,1.219000,1.251000,32000000.000000
1.310000,1.278000,1.278000,1.278000,1.310000,32000000.000000
1.730000,1.698000,1.698000,1.698000,1.730000,32000000.000000
1.792000,1.760000,1.760000,1.760000,1.792000,32000000.000000
1.952000,1.920000,1.920000,1.920000,1.952000,32000000.000000
2.254000,2.222000,2.222000,2.222000,2.254000,32000000.000000
2.425000,2.393000,2.393000,2.393000,2.425000,32000000.000000
2.471000,2.439000,2.439000,2.439000,2.471000,32000000.000000
2.946000,2.884000,2.884000,2.884000,2.946000,32000000.000000
2.948000,2.886000,2.886000,2.886000,2.948000,32000000.000000
3.280000,3.248000,3.248000,3.248000,3.280000,32000000.000000
3.315000,3.283000,3.283000,3.283000,3.315000,32000000.000000
3.544000,3.512000,3.512000,3.512000,3.544000,32000000.000000
3.626000,3.594000,3.594000,3.594000,3.626000,32000000.000000
3.914000,3.882000,3.882000,3.882000,3.914000,32000000.000000
4.027000,3.995000,3.995000,3.995000,4.027000,32000000.000000
4.157000,4.125000,4.125000,4.125000,4.157000,32000000.000000
4.334000,4.302000,4.302000,4.302000,4.334000,32000000.000000
4.387000,4.355000,4.355000,4.355000,4.387000,32000000.000000
4.432000,4.400000,4.400000,4.400000,4.432000,32000000.000000
4.483000,4.451000,4.451000,4.451000,4.483000,32000000.000000
4.715000,4.683000,4.683000,4.683000,4.715000,32000000.000000
4.802000,4.770000,4.770000,4.770000,4.802000,32000000.000000
5.254500,5.193000,5.193000,5.193000,5.254500,32000000.000000
5.274500,5.203000,5.203000,5.203000,5.274500,32000000.000000
5.289000,5.232000,5.232000,5.232000,5.289000,32000000.000000
5.401000,5.340000,5.340000,5.340000,5.401000,32000000.000000
5.421000,5.350000,5.350000,5.350000,5.421000,32000000.000000
5.436000,5.380000,5.380000,5.380000,5.436000,32000000.000000
5.724000,5.692000,5.692000,5.692000,5.724000,32000000.000000
6.306000,6.274000,6.274000,6.274000,6.306000,32000000.000000
6.615000,6.583000,6.583000,6.583000,6.615000,32000000.000000
6.650000,6.618000,6.618000,6.618000,6.650000,32000000.000000
6.683000,6.651000,6.651000,6.651000,6.683000,32000000.000000
6.729000,6.684000,6.684000,6.684000,6.729000,32000000.000000
6.748000,6.703000,6.703000,6.703000,6.748000,32000000.000000
6.865000,6.833000,6.833000,6.833000,6.865000,32000000.000000
7.031000,6.999000,6.999000,6.999000,7.031000,32000000.000000
7.246000,7.183000,7.183000,7.183000,7.246000,32000000.000000
7.247000,7.184000,7.184000,7.184000,7.247000,32000000.000000
7.312000,7.280000,7.280000,7.280000,7.312000,32000000.000000
7.523000,7.476000,7.476000,7.476000,7.523000,32000000.000000
7.540000,7.493000,7.493000,7.493000,7.540000,32000000.000000
7.593000,7.561000,7.561000,7.561000,7.593000,32000000.000000
7.878000,7.836000,7.836000,7.836000,7.878000,32000000.000000
7.900000,7.858000,7.858000,7.858000,7.900000,32000000.000000
7.952000,7.920000,7.920000,7.920000,7.952000,32000000.000000
8.191000,8.159000,8.159000,8.159000,8.191000,32000000.000000
8.328000,8.296000,8.296000,8.296000,8.328000,32000000.000000
8.649667,8.574000,8.574000,8.574000,8.649667,32000000.000000
8.667667,8.580000,8.580000,8.580000,8.667667,32000000.000000
8.687667,8.600000,8.600000,8.600000,8.687667,32000000.000000
8.702000,8.643000,8.643000,8.643000,8.702000,32000000.000000
8.816000,8.776000,8.776000,8.776000,8.816000,32000000.000000
8.840000,8.800000,8.800000,8.800000,8.840000,32000000.000000
8.931000,8.877000,8.877000,8.877000,8.931000,32000000.000000
8.941000,8.887000,8.887000,8.887000,8.941000,32000000.000000
8.976000,8.944000,8.944000,8.944000,8.976000,32000000.000000
9.182000,9.150000,9.150000,9.150000,9.182000,32000000.000000
9.222000,9.190000,9.190000,9.190000,9.222000,32000000.000000
9.314000,9.282000,9.282000,9.282000,9.314000,32000000.000000
9.365000,9.333000,9.333000,9.333000,9.365000,32000000.000000
9.626000,9.594000,9.594000,9.594000,9.626000,32000000.000000
9.722000,9.690000,9.690000,9.690000,9.722000,32000000.000000
9.831500,9.770000,9.770000,9.770000,9.831500,32000000.000000
9.839250,9.773000,9.773000,9.773000,9.839250,32000000.000000
9.896250,9.830000,9.830000,9.830000,9.896250,32000000.000000
9.898000,9.834000,9.834000,9.834000,9.898000,32000000.000000
10.018000,9.971000,9.971000,9.971000,10.018000,32000000.000000
10.035000,9.988000,9.988000,9.988000,10.035000,32000000.000000
10.183667,10.112000,10.112000,10.112000,10.183667,32000000.000000
10.207667,10.120000,10.120000,10.120000,10.207667,32000000.000000
10.233667,10.146000,10.146000,10.146000,10.233667,32000000.000000
10.240000,10.165000,10.165000,10.165000,10.240000,32000000.000000
10.324000,10.270000,10.270000,10.270000,10.324000,32000000.000000
10.334000,10.280000,10.280000,10.280000,10.334000,32000000.000000
10.393000,10.361000,10.361000,10.361000,10.393000,32000000.000000
10.652000,10.620000,10.620000,10.620000,10.652000,32000000.000000
10.795000,10.763000,10.763000,10.763000,10.795000,32000000.000000
10.886000,10.807000,10.807000,10.807000,10.886000,32000000.000000
10.892000,10.810000,10.810000,10.810000,10.892000,32000000.000000
10.903000,10.832000,10.832000,10.832000,10.903000,32000000.000000
11.319000,11.287000,11.287000,11.287000,11.319000,32000000.000000
11.370000,11.338000,11.338000,11.338000,11.370000,32000000.000000
11.471000,11.426000,11.426000,11.426000,11.471000,32000000.000000
11.490000,11.445000,11.445000,11.445000,11.490000,32000000.000000
11.549000,11.510000,11.510000,11.510000,11.549000,32000000.000000
11.597000,11.535000,11.535000,11.535000,11.597000,32000000.000000
11.621000,11.554000,11.554000,11.554000,11.621000,32000000.000000
11.638000,11.588000,11.588000,11.588000,11.638000,32000000.000000
11.896000,11.864000,11.864000,11.864000,11.896000,32000000.000000
11.959000,11.908000,11.908000,11.908000,11.959000,32000000.000000
11.976000,11.921000,11.921000,11.921000,11.976000,32000000.000000
12.036000,11.970000,11.970000,11.970000,12.036000,32000000.000000
12.036000,11.970000,11.970000,11.970000,12.036000,32000000.000000
12.240500,12.189000,12.189000,12.189000,12.240500,32000000.000000
12.270500,12.204000,12.204000,12.204000,12.270500,32000000.000000
12.285000,12.233000,12.233000,12.233000,12.285000,32000000.000000
12.406000,12.374000,12.374000,12.374000,12.406000,32000000.000000
12.533000,12.479000,12.479000,12.479000,12.533000,32000000.000000
12.543000,12.489000,12.489000,12.489000,12.543000,32000000.000000
12.592000,12.560000,12.560000,12.560000,12.592000,32000000.000000
12.665000,12.633000,12.633000,12.633000,12.665000,32000000.000000
12.719000,12.687000,12.687000,12.687000,12.719000,32000000.000000
12.754000,12.722000,12.722000,12.722000,12.754000,32000000.000000
12.813000,12.781000,12.781000,12.781000,12.813000,32000000.000000
12.990000,12.934000,12.934000,12.934000,12.990000,32000000.000000
13.028000,12.953000,12.953000,12.953000,13.028000,32000000.000000
13.030000,12.957000,12.957000,12.957000,13.030000,32000000.000000
13.422333,13.340000,13.340000,13.340000,13.422333,32000000.000000
13.422333,13.340000,13.340000,13.340000,13.422333,32000000.000000
13.460500,13.375000,13.375000,13.375000,13.460500,32000000.000000
13.481833,13.407000,13.407000,13.407000,13.481833,32000000.000000
13.500000,13.451000,13.451000,13.451000,13.500000,32000000.000000
13.663000,13.597000,13.597000,13.597000,13.663000,32000000.000000
13.718000,13.612000,13.612000,13.612000,13.718000,32000000.000000
13.730000,13.620000,13.620000,13.620000,13.730000,32000000.000000
13.756000,13.647000,13.647000,13.647000,13.756000,32000000.000000
13.781500,13.678000,13.678000,13.678000,13.781500,32000000.000000
13.820750,13.732000,13.732000,13.732000,13.820750,32000000.000000
13.839750,13.759000,13.759000,13.759000,13.839750,32000000.000000
13.853000,13.793000,13.793000,13.793000,13.853000,32000000.000000
14.012000,13.980000,13.980000,13.980000,14.012000,32000000.000000
14.157000,14.125000,14.125000,14.125000,14.157000,32000000.000000
14.190000,14.158000,14.158000,14.158000,14.190000,32000000.000000
14.358000,14.306000,14.306000,14.306000,14.358000,32000000.000000
14.370000,14.318000,14.318000,14.318000,14.370000,32000000.000000
14.440000,14.401000,14.401000,14.401000,14.440000,32000000.000000
14.465000,14.426000,14.426000,14.426000,14.465000,32000000.000000
14.548000,14.516000,14.516000,14.516000,14.548000,32000000.000000
14.618000,14.586000,14.586000,14.586000,14.618000,32000000.000000
14.785000,14.725000,14.725000,14.725000,14.785000,32000000.000000
14.790000,14.729000,14.729000,14.729000,14.790000,32000000.000000
14.821000,14.788000,14.788000,14.788000,14.821000,32000000.000000
14.923000,14.891000,14.891000,14.891000,14.923000,32000000.000000
14.965000,14.933000,14.933000,14.933000,14.965000,32000000.000000
15.017000,14.985000,14.985000,14.985000,15.017000,32000000.000000
15.196500,15.127000,15.127000,15.127000,15.196500,32000000.000000
15.216500,15.137000,15.137000,15.137000,15.216500,32000000.000000
15.223000,15.150000,15.150000,15.150000,15.223000,32000000.000000
15.301000,15.269000,15.269000,15.269000,15.301000,32000000.000000
15.362000,15.330000,15.330000,15.330000,15.362000,32000000.000000
15.422000,15.390000,15.390000,15.390000,15.422000,32000000.000000
15.470000,15.438000,15.438000,15.438000,15.470000,32000000.000000
15.581500,15.504000,15.504000,15.504000,15.581500,32000000.000000
15.589500,15.508000,15.508000,15.508000,15.589500,32000000.000000
15.600000,15.529000,15.529000,15.529000,15.600000,32000000.000000
15.818000,15.786000,15.786000,15.786000,15.818000,32000000.000000
15.863000,15.831000,15.831000,15.831000,15.863000,32000000.000000
15.907000,15.875000,15.875000,15.875000,15.907000,32000000.000000
16.002000,15.970000,15.970000,15.970000,16.002000,32000000.000000
16.144000,16.112000,16.112000,16.112000,16.144000,32000000.000000
16.194000,16.162000,16.162000,16.162000,16.194000,32000000.000000
16.271000,16.239000,16.239000,16.239000,16.271000,32000000.000000
16.392000,16.360000,16.360000,16.360000,16.392000,32000000.000000
16.482000,16.450000,16.450000,16.450000,16.482000,32000000.000000
16.565000,16.533000,16.533000,16.533000,16.565000,32000000.000000
16.625000,16.593000,16.593000,16.593000,16.625000,32000000.000000
16.692000,16.660000,16.660000,16.660000,16.692000,32000000.000000
16.841667,16.766000,16.766000,16.766000,16.841667,32000000.000000
