ts,qArr,instArr,startEx,endEx,flops
0.462953,0.462000,0.462000,0.462000,0.462953,953333.000000
0.489953,0.489000,0.489000,0.489000,0.489953,953333.000000
0.731953,0.731000,0.731000,0.731000,0.731953,953333.000000
0.880953,0.880000,0.880000,0.880000,0.880953,953333.000000
1.219953,1.219000,1.219000,1.219000,1.219953,953333.000000
1.278953,1.278000,1.278000,1.278000,1.278953,953333.000000
1.698953,1.698000,1.698000,1.698000,1.698953,953333.000000
1.760953,1.760000,1.760000,1.760000,1.760953,953333.000000
1.920953,1.920000,1.920000,1.920000,1.920953,953333.000000
2.222953,2.222000,2.222000,2.222000,2.222953,953333.000000
2.393953,2.393000,2.393000,2.393000,2.393953,953333.000000
2.439953,2.439000,2.439000,2.439000,2.439953,953333.000000
2.884953,2.884000,2.884000,2.884000,2.884953,953333.000000
2.886953,2.886000,2.886000,2.886000,2.886953,953333.000000
3.248953,3.248000,3.248000,3.248000,3.248953,953333.000000
3.283953,3.283000,3.283000,3.283000,3.283953,953333.000000
3.512953,3.512000,3.512000,3.512000,3.512953,953333.000000
3.594953,3.594000,3.594000,3.594000,3.594953,953333.000000
3.882953,3.882000,3.882000,3.882000,3.882953,953333.000000
3.995953,3.995000,3.995000,3.995000,3.995953,953333.000000
4.125953,4.125000,4.125000,4.125000,4.125953,953333.000000
4.302953,4.302000,4.302000,4.302000,4.302953,953333.000000
4.355953,4.355000,4.355000,4.355000,4.355953,953333.000000
4.400953,4.400000,4.400000,4.400000,4.400953,953333.000000
4.451953,4.451000,4.451000,4.451000,4.451953,953333.000000
4.683953,4.683000,4.683000,4.683000,4.683953,953333.000000
4.770953,4.770000,4.770000,4.770000,4.770953,953333.000000
5.193953,5.193000,5.193000,5.193000,5.193953,953333.000000
5.203953,5.203000,5.203000,5.203000,5.203953,953333.000000
5.232953,5.232000,5.232000,5.232000,5.232953,953333.000000
5.340953,5.340000,5.340000,5.340000,5.340953,953333.000000
5.350953,5.350000,5.350000,5.350000,5.350953,953333.000000
5.380953,5.380000,5.380000,5.380000,5.380953,953333.000000
5.692953,5.692000,5.692000,5.692000,5.692953,953333.000000
6.274953,6.274000,6.274000,6.274000,6.274953,953333.000000
6.583953,6.583000,6.583000,6.583000,6.583953,953333.000000
6.618953,6.618000,6.618000,6.618000,6.618953,953333.000000
6.651953,6.651000,6.651000,6.651000,6.651953,953333.000000
6.684953,6.684000,6.684000,6.684000,6.684953,953333.000000
6.703953,6.703000,6.703000,6.703000,6.703953,953333.000000
6.833953,6.833000,6.833000,6.833000,6.833953,953333.000000
6.999953,6.999000,6.999000,6.999000,6.999953,953333.000000
7.183953,7.183000,7.183000,7.183000,7.183953,953333.000000
7.184953,7.184000,7.184000,7.184000,7.184953,953333.000000
7.280953,7.280000,7.280000,7.280000,7.280953,953333.000000
7.476953,7.476000,7.476000,7.476000,7.476953,953333.000000
7.493953,7.493000,7.493000,7.493000,7.493953,953333.000000
7.561953,7.561000,7.561000,7.561000,7.561953,953333.000000
7.836953,7.836000,7.836000,7.836000,7.836953,953333.000000
7.858953,7.858000,7.858000,7.858000,7.858953,953333.000000
7.920953,7.920000,7.920000,7.920000,7.920953,953333.000000
8.159953,8.159000,8.159000,8.159000,8.159953,953333.000000
8.296953,8.296000,8.296000,8.296000,8.296953,953333.000000
8.574953,8.574000,8.574000,8.574000,8.574953,953333.000000
8.580953,8.580000,8.580000,8.580000,8.580953,953333.000000
8.600953,8.600000,8.600000,8.600000,8.600953,953333.000000
8.643953,8.643000,8.643000,8.643000,8.643953,953333.000000
8.776953,8.776000,8.776000,8.776000,8.776953,953333.000000
8.800953,8.800000,8.800000,8.800000,8.800953,953333.000000
8.877953,8.877000,8.877000,8.877000,8.877953,953333.000000
8.887953,8.887000,8.887000,8.887000,8.887953,953333.000000
8.944953,8.944000,8.944000,8.944000,8.944953,953333.000000
9.150953,9.150000,9.150000,9.150000,9.150953,953333.000000
9.190953,9.190000,9.190000,9.190000,9.190953,953333.000000
9.282953,9.282000,9.282000,9.282000,9.282953,953333.000000
9.333953,9.333000,9.333000,9.333000,9.333953,953333.000000
9.594953,9.594000,9.594000,9.594000,9.594953,953333.000000
9.690953,9.690000,9.690000,9.690000,9.690953,953333.000000
9.770953,9.770000,9.770000,9.770000,9.770953,953333.000000
9.773953,9.773000,9.773000,9.773000,9.773953,953333.000000
9.830953,9.830000,9.830000,9.830000,9.830953,953333.000000
9.834953,9.834000,9.834000,9.834000,9.834953,953333.000000
9.971953,9.971000,9.971000,9.971000,9.971953,953333.000000
9.988953,9.988000,9.988000,9.988000,9.988953,953333.000000
10.112953,10.112000,10.112000,10.112000,10.112953,953333.000000
10.120953,10.120000,10.120000,10.120000,10.120953,953333.000000
10.146953,10.146000,10.146000,10.146000,10.146953,953333.000000
10.165953,10.165000,10.165000,10.165000,10.165953,953333.000000
10.270953,10.270000,10.270000,10.270000,10.270953,953333.000000
10.280953,10.280000,10.280000,10.280000,10.280953,953333.000000
10.361953,10.361000,10.361000,10.361000,10.361953,953333.000000
10.620953,10.620000,10.620000,10.620000,10.620953,953333.000000
10.763953,10.763000,10.763000,10.763000,10.763953,953333.000000
10.807953,10.807000,10.807000,10.807000,10.807953,953333.000000
10.810953,10.810000,10.810000,10.810000,10.810953,953333.000000
10.832953,10.832000,10.832000,10.832000,10.832953,953333.000000
11.287953,11.287000,11.287000,11.287000,11.287953,953333.000000
11.338953,11.338000,11.338000,11.338000,11.338953,953333.000000
11.426953,11.426000,11.426000,11.426000,11.426953,953333.000000
11.445953,11.445000,11.445000,11.445000,11.445953,953333.000000
11.510953,11.510000,11.510000,11.510000,11.510953,953333.000000
11.535953,11.535000,11.535000,11.535000,11.535953,953333.000000
11.554953,11.554000,11.554000,11.554000,11.554953,953333.000000
11.588953,11.588000,11.588000,11.588000,11.588953,953333.000000
11.864953,11.864000,11.864000,11.864000,11.864953,953333.000000
11.908953,11.908000,11.908000,11.908000,11.908953,953333.000000
11.921953,11.921000,11.921000,11.921000,11.921953,953333.000000
11.971907,11.970000,11.970000,11.970000,11.971907,953333.000000
11.971907,11.970000,11.970000,11.970000,11.971907,953333.000000
12.189953,12.189000,12.189000,12.189000,12.189953,953333.000000
12.204953,12.204000,12.204000,12.204000,12.204953,953333.000000
12.233953,12.233000,12.233000,12.233000,12.233953,953333.000000
12.374953,12.374000,12.374000,12.374000,12.374953,953333.000000
12.479953,12.479000,12.479000,12.479000,12.479953,953333.000000
12.489953,12.489000,12.489000,12.489000,12.489953,953333.000000
12.560953,12.560000,12.560000,12.560000,12.560953,953333.000000
12.633953,12.633000,12.633000,12.633000,12.633953,953333.000000
12.687953,12.687000,12.687000,12.687000,12.687953,953333.000000
12.722953,12.722000,12.722000,12.722000,12.722953,953333.000000
12.781953,12.781000,12.781000,12.781000,12.781953,953333.000000
12.934953,12.934000,12.934000,12.934000,12.934953,953333.000000
12.953953,12.953000,12.953000,12.953000,12.953953,953333.000000
12.957953,12.957000,12.957000,12.957000,12.957953,953333.000000
13.341907,13.340000,13.340000,13.340000,13.341907,953333.000000
13.341907,13.340000,13.340000,13.340000,13.341907,953333.000000
13.375953,13.375000,13.375000,13.375000,13.375953,953333.000000
13.407953,13.407000,13.407000,13.407000,13.407953,953333.000000
13.451953,13.451000,13.451000,13.451000,13.451953,953333.000000
13.597953,13.597000,13.597000,13.597000,13.597953,953333.000000
13.612953,13.612000,13.612000,13.612000,13.612953,953333.000000
13.620953,13.620000,13.620000,13.620000,13.620953,953333.000000
13.647953,13.647000,13.647000,13.647000,13.647953,953333.000000
13.678953,13.678000,13.678000,13.678000,13.678953,953333.000000
13.732953,13.732000,13.732000,13.732000,13.732953,953333.000000
13.759953,13.759000,13.759000,13.759000,13.759953,953333.000000
13.793953,13.793000,13.793000,13.793000,13.793953,953333.000000
13.980953,13.980000,13.980000,13.980000,13.980953,953333.000000
14.125953,14.125000,14.125000,14.125000,14.125953,953333.000000
14.158953,14.158000,14.158000,14.158000,14.158953,953333.000000
14.306953,14.306000,14.306000,14.306000,14.306953,953333.000000
14.318953,14.318000,14.318000,14.318000,14.318953,953333.000000
14.401953,14.401000,14.401000,14.401000,14.401953,953333.000000
14.426953,14.426000,14.426000,14.426000,14.426953,953333.000000
14.516953,14.516000,14.516000,14.516000,14.516953,953333.000000
14.586953,14.586000,14.586000,14.586000,14.586953,953333.000000
14.725953,14.725000,14.725000,14.725000,14.725953,953333.000000
14.729953,14.729000,14.729000,14.729000,14.729953,953333.000000
