ts,qArr,instArr,startEx,endEx,flops
0.488000,0.462000,0.462000,0.462000,0.488000,26000000.000000
0.515000,0.489000,0.489000,0.489000,0.515000,26000000.000000
0.757000,0.731000,0.731000,0.731000,0.757000,26000000.000000
0.906000,0.880000,0.880000,0.880000,0.906000,26000000.000000
1.245000,1.219000,1.219000,1.219000,1.245000,26000000.000000
1.304000,1.278000,1.278000,1.278000,1.304000,26000000.000000
1.724000,1.698000,1.698000,1.698000,1.724000,26000000.000000
1.786000,1.760000,1.760000,1.760000,1.786000,26000000.000000
1.946000,1.920000,1.920000,1.920000,1.946000,26000000.000000
2.248000,2.222000,2.222000,2.222000,2.248000,26000000.000000
2.419000,2.393000,2.393000,2.393000,2.419000,26000000.000000
2.465000,2.439000,2.439000,2.439000,2.465000,26000000.000000
2.934000,2.884000,2.884000,2.884000,2.934000,26000000.000000
2.936000,2.886000,2.886000,2.886000,2.936000,26000000.000000
3.274000,3.248000,3.248000,3.248000,3.274000,26000000.000000
3.309000,3.283000,3.283000,3.283000,3.309000,26000000.000000
3.538000,3.512000,3.512000,3.512000,3.538000,26000000.000000
3.620000,3.594000,3.594000,3.594000,3.620000,26000000.000000
3.908000,3.882000,3.882000,3.882000,3.908000,26000000.000000
4.021000,3.995000,3.995000,3.995000,4.021000,26000000.000000
4.151000,4.125000,4.125000,4.125000,4.151000,26000000.000000
4.328000,4.302000,4.302000,4.302000,4.328000,26000000.000000
4.381000,4.355000,4.355000,4.355000,4.381000,26000000.000000
4.426000,4.400000,4.400000,4.400000,4.426000,26000000.000000
4.477000,4.451000,4.451000,4.451000,4.477000,26000000.000000
4.709000,4.683000,4.683000,4.683000,4.709000,26000000.000000
4.796000,4.770000,4.770000,4.770000,4.796000,26000000.000000
5.236500,5.193000,5.193000,5.193000,5.236500,26000000.000000
5.256500,5.203000,5.203000,5.203000,5.256500,26000000.000000
5.271000,5.232000,5.232000,5.232000,5.271000,26000000.000000
5.383000,5.340000,5.340000,5.340000,5.383000,26000000.000000
5.403000,5.350000,5.350000,5.350000,5.403000,26000000.000000
5.418000,5.380000,5.380000,5.380000,5.418000,26000000.000000
5.718000,5.692000,5.692000,5.692000,5.718000,26000000.000000
6.300000,6.274000,6.274000,6.274000,6.300000,26000000.000000
6.609000,6.583000,6.583000,6.583000,6.609000,26000000.000000
6.644000,6.618000,6.618000,6.618000,6.644000,26000000.000000
6.677000,6.651000,6.651000,6.651000,6.677000,26000000.000000
6.717000,6.684000,6.684000,6.684000,6.717000,26000000.000000
6.736000,6.703000,6.703000,6.703000,6.736000,26000000.000000
6.859000,6.833000,6.833000,6.833000,6.859000,26000000.000000
7.025000,6.999000,6.999000,6.999000,7.025000,26000000.000000
7.234000,7.183000,7.183000,7.183000,7.234000,26000000.000000
7.235000,7.184000,7.184000,7.184000,7.235000,26000000.000000
7.306000,7.280000,7.280000,7.280000,7.306000,26000000.000000
7.511000,7.476000,7.476000,7.476000,7.511000,26000000.000000
7.528000,7.493000,7.493000,7.493000,7.528000,26000000.000000
7.587000,7.561000,7.561000,7.561000,7.587000,26000000.000000
7.866000,7.836000,7.836000,7.836000,7.866000,26000000.000000
7.888000,7.858000,7.858000,7.858000,7.888000,26000000.000000
7.946000,7.920000,7.920000,7.920000,7.946000,26000000.000000
8.185000,8.159000,8.159000,8.159000,8.185000,26000000.000000
8.322000,8.296000,8.296000,8.296000,8.322000,26000000.000000
8.630000,8.574000,8.574000,8.574000,8.630000,26000000.000000
