conn,load,meanLat,reqPerSec
1,1,10.643,1.07
1,51,5.476,51.46
1,101,85.757,100.87
1,151,3.612,150.69
1,201,4.167,200.79
1,251,5.134,249.51
1,301,281.575,291.88
1,351,21.152,347.10
1,401,1092.584,379.10
1,451,1978.192,376.69
1,501,1182.652,307.19
1,551,1737.280,366.62
1,601,2069.359,372.69
1,651,1644.707,378.22
1,701,1074.283,357.51
1,751,1642.220,344.45
1,801,1700.019,370.00
1,851,1881.329,320.74
1,901,1783.605,335.47
1,951,1844.239,302.33
1,1001,1676.477,346.23
1,1051,1812.770,341.71
1,1101,2112.245,325.38
1,1151,1165.054,293.27
1,1201,1725.080,331.19
1,1251,2155.595,314.10
1,1301,1784.891,342.22
1,1351,2181.096,296.00
1,1401,1813.535,325.33
1,1451,1880.148,342.22
1,1501,1718.100,352.50
1,1551,1844.315,334.06
1,1601,1544.847,252.52
1,1651,1752.369,300.26
1,1701,1059.441,351.34
1,1751,1050.059,351.89
1,1801,1038.515,345.95
1,1851,1418.926,345.22
1,1901,2518.872,350.84
1,1951,1712.629,340.45
1,2001,1735.172,349.13
1,2051,1593.277,344.41
1,2101,1745.452,347.65
1,2151,1045.443,336.38
1,2201,2768.702,243.37
1,2251,2500.210,227.25
1,2301,2278.015,244.83
1,2351,2375.550,242.06
1,2401,2426.765,250.77
1,2451,2084.448,291.95
1,2501,1701.482,311.38
1,2551,1956.186,305.19
1,2601,1920.584,305.26
1,2651,1678.673,293.06
1,2701,2053.691,303.99
1,2751,1810.897,304.48
1,2801,1115.626,307.09
1,2851,2517.814,292.64
1,2901,1995.770,306.87
1,2951,1839.702,311.26
1,3001,1802.315,339.79
1,3051,1705.471,317.16
1,3101,1765.899,327.42
1,3151,1800.215,326.37
1,3201,1821.412,336.42
1,3251,1933.178,316.86
1,3301,1892.193,338.55
1,3351,2371.697,337.57
1,3401,1977.971,326.28
1,3451,1866.314,299.70
1,3501,1714.418,338.68
1,3551,1866.806,336.59
1,3601,1750.575,334.32
1,3651,2173.075,311.11
1,3701,1935.721,335.53
1,3751,1917.586,335.45
1,3801,1763.472,332.95
1,3851,2065.780,304.76
1,3901,2522.969,331.45
1,3951,1048.111,328.43
1,4001,2810.610,327.43
1,4051,2600.632,250.61
1,4101,1817.866,322.63
1,4151,2127.429,321.25
1,4201,1924.149,315.89
1,4251,2353.028,266.51
1,4301,1536.715,318.34
1,4351,2518.461,314.79
1,4401,1015.177,318.16
1,4451,2442.166,260.67
1,4501,1071.421,305.66
1,4551,1907.276,309.61
1,4601,1902.544,314.94
1,4651,2233.406,273.72
1,4701,1005.632,280.84
1,4751,1925.088,316.84
1,4801,2018.119,302.10
1,4851,1102.936,303.70
1,4901,2370.132,250.48
1,4951,1709.511,317.89
2,1,13.048,1.07
2,51,5.139,51.43
2,101,4.137,100.86
2,151,4.035,150.76
2,201,4.733,200.76
2,251,5.594,249.52
2,301,7.426,299.72
2,351,11.378,347.59
2,401,19.580,398.22
2,451,40.921,448.21
2,501,291.159,495.43
2,551,810.599,523.69
2,601,1622.085,518.23
2,651,2164.515,513.76
2,701,2277.428,525.33
2,751,2213.497,506.58
2,801,2184.801,523.74
2,851,2075.068,520.68
2,901,2153.362,501.34
2,951,2304.007,519.66
2,1001,2185.490,517.72
2,1051,2371.612,489.41
2,1101,2027.302,516.70
2,1151,2117.098,515.23
2,1201,2176.605,510.67
2,1251,2173.217,479.10
2,1301,2170.524,510.49
2,1351,2172.629,508.44
2,1401,2316.817,505.07
2,1451,2239.592,465.42
2,1501,2204.873,502.50
2,1551,2254.586,497.23
2,1601,2876.667,427.19
2,1651,3449.354,358.95
2,1701,2586.851,444.40
2,1751,2289.199,451.40
2,1801,2041.331,465.48
2,1851,2835.793,393.75
2,1901,2056.589,348.30
2,1951,2298.449,487.17
2,2001,2279.496,496.02
2,2051,2241.066,489.89
2,2101,2404.795,494.43
2,2151,2301.143,489.13
2,2201,2236.961,490.28
2,2251,2263.191,489.49
2,2301,2476.258,487.81
2,2351,2435.484,480.52
2,2401,2428.555,494.35
2,2451,2420.307,474.19
2,2501,2221.765,487.99
2,2551,2169.635,486.78
2,2601,2477.706,462.87
2,2651,2405.607,488.82
2,2701,2364.518,481.06
2,2751,2639.616,458.70
2,2801,2223.805,483.44
2,2851,2343.925,483.73
2,2901,2361.443,478.47
2,2951,2739.235,447.56
2,3001,2442.487,479.25
2,3051,2417.124,476.07
2,3101,2559.615,469.79
2,3151,2821.758,418.82
2,3201,2536.946,452.59
2,3251,2483.816,453.66
2,3301,2460.781,446.27
2,3351,2874.930,393.12
2,3401,2012.471,432.09
2,3451,2573.695,433.47
2,3501,2626.866,429.68
2,3551,3121.836,347.39
2,3601,2092.431,377.07
2,3651,2734.261,390.06
2,3701,2676.003,394.80
2,3751,11028.599,316.81
2,3801,2922.578,321.50
2,3851,2661.315,369.47
2,3901,2925.985,372.30
2,3951,3512.077,329.74
2,4001,2606.612,376.98
2,4051,2869.636,373.85
2,4101,2871.763,369.36
2,4151,2941.963,360.83
2,4201,2622.462,359.08
2,4251,3223.052,329.81
2,4301,3140.968,334.47
2,4351,3151.988,329.53
2,4401,2506.466,333.60
2,4451,1694.020,414.36
2,4501,2443.643,449.19
2,4551,2552.296,458.03
2,4601,2590.076,442.43
2,4651,2544.168,443.78
2,4701,2300.520,447.25
2,4751,2482.534,428.66
2,4801,2420.606,447.32
2,4851,2504.716,442.01
2,4901,2569.308,428.69
2,4951,2588.634,438.20
3,1,13.893,1.03
3,51,6.976,51.43
3,101,12.823,100.86
3,151,4.893,150.78
3,201,6.031,200.74
3,251,5.670,249.55
3,301,152.335,299.70
3,351,7.694,347.55
3,401,8.831,398.12
3,451,19.583,448.14
3,501,2195.624,457.11
3,551,1581.348,498.56
3,601,2427.034,505.39
3,651,2511.350,492.17
3,701,3215.302,428.22
3,751,1845.868,457.99
3,801,2786.592,453.26
3,851,2760.890,473.00
3,901,3223.789,348.60
3,951,3029.033,375.24
3,1001,3379.171,421.89
3,1051,7528.451,409.33
3,1101,3384.759,435.10
3,1151,2896.006,469.75
3,1201,2804.311,481.75
