perc,nbn,sample,conn,load,meanLat,reqPerSec
100,2,1,1,100,4.660,100.00,6
100,2,1,2,200,3.972,199.72,6
100,2,1,3,300,3.615,298.59,6
100,2,1,4,400,3.592,397.19,6
100,2,1,5,500,3.572,499.37,6
100,2,1,6,600,3.696,596.29,6
100,2,1,7,700,3.776,692.23,6
100,2,1,8,800,3.970,796.19,6
100,2,1,9,900,4.258,895.07,6
100,2,1,10,1000,4.740,997.70,6
100,2,1,11,1100,5.248,1095.99,6
100,2,1,12,1200,5.850,1193.42,6
100,2,1,13,1300,9.815,1292.96,6
100,2,1,14,1400,534.403,1348.14,6
100,2,1,15,1500,2031.475,1335.09,6
100,2,1,16,1600,2920.998,1299.74,6
100,2,1,17,1700,4382.007,1309.50,6
