"nbn","perc","load","reqPerSec"
1,30,1,0.98
2,30,1,0.98
1,45,1,0.98
2,45,1,0.98
1,100,1,0.98
2,100,1,0.98
1,30,21,20.98
2,30,21,20.98
1,45,21,20.98
2,45,21,20.98
1,100,21,20.98
2,100,21,20.98
1,30,41,40.98
2,30,41,40.98
1,45,41,40.98
2,45,41,40.98
1,100,41,40.98
2,100,41,40.98
1,30,61,37.12
2,30,61,60.96
1,45,61,60.98
2,45,61,60.98
1,100,61,60.98
2,100,61,60.98
1,30,81,28.98
2,30,81,60.12
1,45,81,61.12
2,45,81,80.96
1,100,81,80.98
2,100,81,80.98
1,30,101,22.98
2,30,101,50.28
1,45,101,51.36
2,45,101,100.94
1,100,101,100.98
2,100,101,100.98
1,30,121,18.32
2,30,121,42.04
1,45,121,43.64
2,45,121,90.48
1,100,121,120.98
2,100,121,120.98
1,30,141,14.62
2,30,141,35
1,45,141,37.32
2,45,141,80.32
1,100,141,140.98
2,100,141,140.98
1,30,161,11.66
2,30,161,28.84
1,45,161,32.04
2,45,161,71.32
1,100,161,147.08
2,100,161,160.96
1,30,181,9.26
2,30,181,23.5
1,45,181,27.56
2,45,181,63.26
1,100,181,135.32
2,100,181,180.96
1,30,201,7.28
2,30,201,19.08
1,45,201,23.74
2,45,201,56.02
1,100,201,124.94
2,100,201,200.96
1,30,221,6.56
2,30,221,14.9
1,45,221,20.42
2,45,221,49.44
1,100,221,115.68
2,100,221,220.96
1,30,241,6.54
2,30,241,11.76
1,45,241,17.56
2,45,241,43.4
1,100,241,107.34
2,100,241,216.9
1,30,261,6.54
2,30,261,8.76
1,45,261,15.04
2,45,261,38.14
1,100,261,99.78
2,100,261,205.42
1,30,281,6.56
2,30,281,8.32
1,45,281,12.84
2,45,281,33.06
1,100,281,92.9
2,100,281,194.64
1,30,301,6.56
2,30,301,8.3
1,45,301,10.96
2,45,301,28.7
1,100,301,86.6
2,100,301,184.48
1,25,1,0.98
2,25,1,0.98
1,25,21,20.98
2,25,21,20.98
1,25,41,36.28
2,25,41,40.96
1,25,61,26.52
2,25,61,53.74
1,25,81,19.98
2,25,81,43.34
1,25,101,15.22
2,25,101,34.94
1,25,121,11.62
2,25,121,28.04
1,25,141,8.84
2,25,141,22.24
1,25,161,6.66
2,25,161,17.4
1,25,181,5.46
2,25,181,13.02
1,25,201,5.46
2,25,201,9.78
1,25,221,5.46
2,25,221,6.92
1,25,241,5.46
2,25,241,6.92
1,25,261,5.46
2,25,261,6.92
1,25,281,5.46
2,25,281,6.92
1,25,301,5.46
2,25,301,6.92
1,20,1,0.966667
2,20,1,0.966667
1,20,21,20.9667
2,20,21,20.9667
1,20,41,24.5667
2,20,41,40.9333
1,20,61,17.0667
2,20,61,36.4667
1,20,81,12.1333
2,20,81,27.9
1,20,101,8.63333
2,20,101,21.2
1,20,121,6.1
2,20,121,15.7667
1,20,141,4.36667
2,20,141,11.2333
1,20,161,4.36667
2,20,161,7.7
1,20,181,4.36667
2,20,181,5.53333
1,20,201,4.36667
2,20,201,5.53333
1,20,221,4.36667
2,20,221,5.53333
1,20,241,4.36667
2,20,241,5.5
1,20,261,4.33333
2,20,261,5.53333
1,20,281,4.36667
2,20,281,5.53333
1,20,301,4.36667
2,20,301,5.53333
1,35,1,0.966667
2,35,1,0.966667
1,40,1,0.966667
2,40,1,0.966667
1,35,21,20.9667
2,35,21,20.9667
1,40,21,20.9667
2,40,21,20.9667
1,35,41,40.9667
2,35,41,40.9667
1,40,41,40.9667
2,40,41,40.9667
1,35,61,48.6667
2,35,61,60.9333
1,40,61,60.9667
2,40,61,60.9667
1,35,81,38.9
2,35,81,77.8667
1,40,81,49.6333
2,40,81,80.9333
1,35,101,31.6333
2,35,101,66.7
1,40,101,41.1333
2,40,101,84.0333
1,35,121,25.9333
2,35,121,57.2667
1,40,121,34.4
2,40,121,73.4667
1,35,141,21.3667
2,35,141,49.1
1,40,141,29
2,40,141,64.2333
1,35,161,17.6333
2,35,161,41.9667
1,40,161,24.4667
2,40,161,56.1667
1,35,181,14.5667
2,35,181,35.6333
1,40,181,20.7
2,40,181,48.9333
1,35,201,11.9667
2,35,201,30
1,40,201,17.4667
2,40,201,42.5333
1,35,221,9.76667
2,35,221,25.3333
1,40,221,14.6667
2,40,221,36.8
1,35,241,7.9
2,35,241,20.5667
1,40,241,12.4
2,40,241,31.4333
1,35,261,7.63333
2,35,261,17.0667
1,40,261,10.3333
2,40,261,27.0667
1,35,281,7.63333
2,35,281,13.7333
1,40,281,8.76667
2,40,281,22.4667
1,35,301,7.66667
2,35,301,10.6667
1,40,301,8.73333
2,40,301,18.9667
1,50,1,0.966667
2,50,1,0.966667
1,50,21,20.9667
2,50,21,20.9667
1,50,41,40.9667
2,50,41,40.9667
1,50,61,60.9667
2,50,61,60.9667
1,50,81,73.1667
2,50,81,80.9333
1,50,101,62.2
2,50,101,100.933
1,50,121,53.4333
2,50,121,108.1
1,50,141,46.2667
2,50,141,97
1,50,161,40.2333
2,50,161,87.1667
1,50,181,35.1
2,50,181,78.3333
1,50,201,30.6667
2,50,201,70.3
1,50,221,26.8
2,50,221,63.1
1,50,241,23.3667
2,50,241,56.4333
1,50,261,20.4333
2,50,261,50.3
1,50,281,17.8
2,50,281,44.7
1,50,301,15.5
2,50,301,39.3333
