perc,nbn,sample,conn,load,meanLat,reqPerSec
35,1,1,1,1,20.826,1.07
35,1,1,1,21,77.583,22.46
35,1,1,1,41,3005.759,36.78
35,1,1,1,61,4633.503,45.30
35,1,1,1,81,8625.445,46.39
35,1,1,1,101,15140.826,24.76
35,1,1,1,121,16021.089,24.00
35,1,1,1,141,17534.120,17.46
35,1,1,1,161,18319.120,16.16
35,1,1,1,181,18450.733,13.36
35,1,1,1,201,18771.320,11.60
35,1,1,1,221,19180.880,10.67
35,1,1,1,241,19751.621,8.83
35,1,1,1,261,19185.044,7.86
35,1,1,1,281,19535.345,7.23
35,1,1,1,301,19440.673,5.89
35,1,2,1,1,26.965,1.07
35,1,2,1,21,67.489,22.47
35,1,2,1,41,2259.965,38.52
35,1,2,1,61,9366.427,34.48
35,1,2,1,81,15027.870,27.65
35,1,2,1,101,15155.335,22.51
35,1,2,1,121,16998.639,16.63
35,1,2,1,141,18472.584,15.23
35,1,2,1,161,18212.546,10.88
35,1,2,1,181,20214.429,9.76
35,1,2,1,201,19120.666,10.13
35,1,2,1,221,19949.949,8.26
35,1,2,1,241,18827.402,9.12
35,1,2,1,261,19569.576,7.18
35,1,2,1,281,18853.396,6.13
35,1,2,1,301,19364.771,5.87
35,1,3,1,1,20.224,1.06
35,1,3,1,21,73.478,22.42
35,1,3,1,41,4498.684,33.97
35,1,3,1,61,9797.864,32.02
35,1,3,1,81,13733.157,29.66
35,1,3,1,101,16256.421,23.66
35,1,3,1,121,17445.168,21.33
35,1,3,1,141,18366.710,18.43
35,1,3,1,161,17280.270,16.13
35,1,3,1,181,19328.583,10.84
35,1,3,1,201,18767.431,11.03
35,1,3,1,221,19464.417,9.36
35,1,3,1,241,18871.653,8.81
35,1,3,1,261,20029.709,6.69
35,1,3,1,281,19450.429,6.23
35,1,3,1,301,20330.028,6.42
35,1,4,1,1,21.287,1.06
35,1,4,1,21,38.639,22.46
35,1,4,1,41,2553.385,36.32
35,1,4,1,61,9550.994,35.10
