perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,1,1,1,100,3.396,100.00,10
100,1,1,2,200,3.418,199.72,10
100,1,1,3,300,3.386,298.60,10
100,1,1,4,400,3.305,397.23,10
100,1,1,5,500,3.313,499.39,10
100,1,1,6,600,3.384,596.31,10
100,1,1,7,700,3.457,692.27,10
100,1,1,8,800,3.541,796.22,10
100,1,1,9,900,3.676,895.03,10
100,1,1,10,1000,3.861,997.72,10
100,1,1,11,1100,14.296,1096.01,10
100,1,1,12,1200,14.516,1193.40,10
100,1,1,13,1300,5.204,1293.13,10
100,1,1,14,1400,5.668,1395.27,10
100,1,1,15,1500,14.040,1488.48,10
100,1,1,16,1600,28.702,1590.73,10
100,1,1,17,1700,1093.412,1583.89,10
100,1,1,18,1800,2403.493,1550.70,10
100,1,1,19,1900,3130.421,1533.28,10
100,1,1,20,2000,3801.451,1581.05,10
100,1,2,1,100,3.649,100.00,10
100,1,2,2,200,3.405,199.71,10
100,1,2,3,300,3.287,298.57,10
100,1,2,4,400,22.420,397.20,10
100,1,2,5,500,3.326,499.36,10
100,1,2,6,600,3.436,596.32,10
100,1,2,7,700,3.501,692.26,10
100,1,2,8,800,3.594,796.23,10
100,1,2,9,900,3.715,895.05,10
100,1,2,10,1000,11.100,997.72,10
100,1,2,11,1100,7.346,1095.97,10
100,1,2,12,1200,21.554,1192.42,10
100,1,2,13,1300,15.199,1291.90,10
100,1,2,14,1400,5.750,1348.93,10
100,1,2,15,1500,10.778,1492.28,10
100,1,2,16,1600,26.681,1591.09,10
100,1,2,17,1700,1747.349,1519.12,10
100,1,2,18,1800,1903.835,1621.95,10
100,1,2,19,1900,3079.909,1549.59,10
100,1,2,20,2000,3787.299,1586.59,10
100,1,3,1,100,3.732,99.99,10
100,1,3,2,200,3.418,199.74,10
100,1,3,3,300,3.338,298.58,10
100,1,3,4,400,3.339,397.20,10
100,1,3,5,500,10.557,499.37,10
100,1,3,6,600,3.405,596.30,10
100,1,3,7,700,8.840,692.28,10
100,1,3,8,800,3.550,796.19,10
100,1,3,9,900,3.622,895.06,10
100,1,3,10,1000,3.883,997.73,10
100,1,3,11,1100,4.153,1096.00,10
100,1,3,12,1200,13.173,1192.13,10
100,1,3,13,1300,7.881,1293.11,10
100,1,3,14,1400,8.156,1348.83,10
100,1,3,15,1500,7.564,1491.84,10
100,1,3,16,1600,238.520,1568.39,10
100,1,3,17,1700,574.633,1632.98,10
100,1,3,18,1800,1824.271,1610.68,10
100,1,3,19,1900,2610.868,1543.22,10
100,1,3,20,2000,3792.771,1590.08,10
100,1,4,1,100,3.860,100.00,10
100,1,4,2,200,3.535,199.71,10
100,1,4,3,300,3.355,298.58,10
100,1,4,4,400,3.323,397.20,10
100,1,4,5,500,25.115,499.38,10
100,1,4,6,600,3.399,596.29,10
100,1,4,7,700,3.459,669.67,10
100,1,4,8,800,3.501,796.25,10
100,1,4,9,900,3.763,895.04,10
100,1,4,10,1000,3.922,997.72,10
100,1,4,11,1100,3.963,1095.95,10
100,1,4,12,1200,13.945,1193.38,10
100,1,4,13,1300,15.396,1293.02,10
100,1,4,14,1400,5.515,1395.06,10
100,1,4,15,1500,23.859,1492.02,10
100,1,4,16,1600,20.544,1590.89,10
100,1,4,17,1700,852.328,1610.56,10
100,1,4,18,1800,1694.843,1635.00,10
100,1,4,19,1900,2860.013,1580.42,10
100,1,4,20,2000,3195.121,1600.12,10
100,1,5,1,100,4.648,100.00,10
100,1,5,2,200,3.484,199.74,10
100,1,5,3,300,3.368,298.58,10
100,1,5,4,400,3.378,397.20,10
100,1,5,5,500,3.411,499.39,10
100,1,5,6,600,3.365,596.28,10
100,1,5,7,700,3.473,692.28,10
100,1,5,8,800,3.551,796.22,10
100,1,5,9,900,7.865,895.04,10
100,1,5,10,1000,10.772,996.51,10
100,1,5,11,1100,8.493,1093.89,10
