perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,2.1,1,1,100,4.722,99.99,10
100,2.1,1,2,200,4.224,199.72,10
100,2.1,1,3,300,4.028,298.60,10
100,2.1,1,4,400,3.979,397.19,10
100,2.1,1,5,500,3.850,499.35,10
100,2.1,1,6,600,3.724,595.99,10
100,2.1,1,7,700,3.759,692.23,10
100,2.1,1,8,800,3.835,796.24,10
100,2.1,1,9,900,3.802,895.04,10
100,2.1,1,10,1000,14.666,997.73,10
100,2.1,1,11,1100,4.044,1095.91,10
100,2.1,1,12,1200,4.021,1193.44,10
100,2.1,1,13,1300,7.595,1293.23,10
100,2.1,1,14,1400,25.887,1395.33,10
100,2.1,1,15,1500,8.959,1492.26,10
100,2.1,1,16,1600,8.906,1591.20,10
100,2.1,1,17,1700,10.008,1693.52,10
100,2.1,1,18,1800,19.697,1792.50,10
100,2.1,1,19,1900,337.754,1852.58,10
100,2.1,1,20,2000,1399.471,1842.64,10
100,2.1,2,1,100,5.079,99.99,10
100,2.1,2,2,200,4.406,199.71,10
100,2.1,2,3,300,4.090,298.57,10
100,2.1,2,4,400,3.996,397.21,10
100,2.1,2,5,500,21.066,499.37,10
100,2.1,2,6,600,3.928,596.31,10
100,2.1,2,7,700,3.775,692.26,10
100,2.1,2,8,800,3.751,796.23,10
100,2.1,2,9,900,3.829,895.01,10
100,2.1,2,10,1000,10.220,997.71,10
100,2.1,2,11,1100,14.516,1093.09,10
100,2.1,2,12,1200,3.993,1193.42,10
100,2.1,2,13,1300,4.484,1293.14,10
100,2.1,2,14,1400,29.803,1395.35,10
100,2.1,2,15,1500,11.496,1492.36,10
100,2.1,2,16,1600,22.097,1588.78,10
100,2.1,2,17,1700,6.738,1635.27,10
100,2.1,2,18,1800,26.279,1793.54,10
100,2.1,2,19,1900,1356.627,1752.34,10
100,2.1,2,20,2000,1360.668,1842.28,10
100,2.1,3,1,100,5.615,99.99,10
100,2.1,3,2,200,4.463,199.72,10
100,2.1,3,3,300,4.193,298.60,10
100,2.1,3,4,400,4.036,397.23,10
100,2.1,3,5,500,4.008,499.35,10
100,2.1,3,6,600,28.236,596.29,10
100,2.1,3,7,700,3.700,692.33,10
100,2.1,3,8,800,8.586,796.16,10
100,2.1,3,9,900,3.725,895.02,10
100,2.1,3,10,1000,3.907,997.73,10
100,2.1,3,11,1100,4.018,1096.01,10
100,2.1,3,12,1200,26.224,1193.44,10
100,2.1,3,13,1300,4.266,1293.19,10
100,2.1,3,14,1400,10.655,1395.27,10
100,2.1,3,15,1500,15.566,1492.11,10
100,2.1,3,16,1600,10.478,1591.21,10
100,2.1,3,17,1700,6.754,1693.51,10
100,2.1,3,18,1800,24.524,1793.26,10
100,2.1,3,19,1900,113.456,1879.18,10
100,2.1,3,20,2000,1550.738,1820.85,10
100,2.1,4,1,100,5.551,99.99,10
100,2.1,4,2,200,4.293,199.71,10
100,2.1,4,3,300,4.126,298.60,10
100,2.1,4,4,400,3.882,397.23,10
100,2.1,4,5,500,22.801,499.35,10
100,2.1,4,6,600,3.842,596.30,10
100,2.1,4,7,700,3.714,692.26,10
100,2.1,4,8,800,8.901,796.21,10
100,2.1,4,9,900,19.773,894.82,10
100,2.1,4,10,1000,8.025,997.66,10
100,2.1,4,11,1100,6.683,1095.95,10
100,2.1,4,12,1200,13.782,1154.50,10
100,2.1,4,13,1300,4.186,1293.09,10
100,2.1,4,14,1400,13.778,1395.28,10
100,2.1,4,15,1500,5.574,1492.24,10
100,2.1,4,16,1600,11.147,1590.18,10
100,2.1,4,17,1700,73.263,1689.48,10
100,2.1,4,18,1800,426.549,1751.23,10
100,2.1,4,19,1900,1315.776,1756.79,10
100,2.1,4,20,2000,1684.805,1738.26,10
100,2.1,5,1,100,4.963,99.99,10
