serviceName,nbIter,timestamp,totDurInServ,computeDur,parExec,totReqProcessed,scenario
S1_cal0607_1,1,0,10853,3670,0,0,scenario1
S1_cal0607_1,1,3000909056,2183,418,0,1,scenario1
S1_cal0607_1,1,6001189376,2104,396,0,2,scenario1
S1_cal0607_1,1,9001645568,4330,820,0,3,scenario1
S1_cal0607_1,1,12001867520,2694,761,0,4,scenario1
S1_cal0607_1,1,15002189056,2140,394,0,5,scenario1
S1_cal0607_1,1,18002652672,4333,843,0,6,scenario1
S1_cal0607_1,1,21002858752,2161,388,0,7,scenario1
S1_cal0607_1,1,24003149056,2057,377,0,8,scenario1
S1_cal0607_1,1,27003314944,2154,465,0,9,scenario1
S1_cal0607_1,1,30003755008,2134,396,0,10,scenario1
S1_cal0607_1,1,33004139776,2140,390,0,11,scenario1
S1_cal0607_1,1,36004292352,2033,387,0,12,scenario1
S1_cal0607_1,1,39004712704,2605,525,0,13,scenario1
S1_cal0607_1,1,42005012992,2945,698,0,14,scenario1
S1_cal0607_1,1,45005356544,14842,528,0,15,scenario1
S1_cal0607_1,1,48005762816,2037,410,0,16,scenario1
S1_cal0607_1,1,51006030336,2095,391,0,17,scenario1
S1_cal0607_1,1,54006682112,5340,1094,0,18,scenario1
S1_cal0607_1,1,57006580992,2512,572,0,19,scenario1
S1_cal0607_1,1,60007059968,7778,787,0,20,scenario1
S1_cal0607_1,1,63007483648,2323,548,0,21,scenario1
S1_cal0607_1,1,66007877376,2640,544,0,22,scenario1
S1_cal0607_1,1,69008275712,5866,1270,0,23,scenario1
S1_cal0607_1,1,72008341760,2997,740,0,24,scenario1
S1_cal0607_1,1,75008826624,2335,397,0,25,scenario1
S1_cal0607_1,1,78009130496,2698,550,0,26,scenario1
S1_cal0607_1,1,81009519104,5584,1177,0,27,scenario1
S1_cal0607_1,1,84009786880,2072,385,0,28,scenario1
S1_cal0607_1,1,87010033920,1996,449,0,29,scenario1
S1_cal0607_1,1,90010631424,5507,1193,0,30,scenario1
S1_cal0607_1,1,93010854400,2203,408,0,31,scenario1
S1_cal0607_1,1,96011257600,2655,525,0,32,scenario1
S1_cal0607_1,1,99011536896,2137,400,0,33,scenario1
S1_cal0607_1,1,102011829760,2029,424,0,34,scenario1
S1_cal0607_1,1,105012230656,2461,563,0,35,scenario1
S1_cal0607_1,1,108012674816,2049,395,0,36,scenario1
S1_cal0607_1,1,111013006336,2086,385,0,37,scenario1
S1_cal0607_1,1,114013390080,1703,323,0,38,scenario1
S1_cal0607_1,1,117013508352,3153,786,0,39,scenario1
S1_cal0607_1,1,120013914880,3167,710,0,40,scenario1
