serviceName,nbIter,timestamp,totDurInServ,computeDur,parExec,totReqProcessed,scenario
S1_testm_1,60000001,0,18819566,18817393,1,0,scenario1
S1_testm_1,60000001,2414592,38589630,38582989,1,1,scenario1
S1_testm_1,60000001,24235264,19747508,19744197,1,2,scenario1
S1_testm_1,60000001,265798656,19075924,19074055,1,3,scenario1
S1_testm_1,60000001,415091456,19064503,19062626,1,4,scenario1
S1_testm_1,60000001,754535936,19070818,19068826,1,5,scenario1
S1_testm_1,60000001,813955328,19068511,19066593,1,6,scenario1
S1_testm_1,60000001,1234471168,19209314,19205781,1,7,scenario1
S1_testm_1,60000001,1296481280,19056003,19054073,1,8,scenario1
S1_testm_1,60000001,1457171456,19352174,19348505,1,9,scenario1
S1_testm_1,60000001,1759255808,19074770,19072656,1,10,scenario1
S1_testm_1,60000001,1930555648,19066532,19064528,1,11,scenario1
S1_testm_1,60000001,1977048320,19102462,19100371,1,12,scenario1
S1_testm_1,60000001,2436369920,18811032,18809536,1,13,scenario1
S1_testm_1,60000001,2441889536,38668174,38665456,1,14,scenario1
S1_testm_1,60000001,2787207424,19273986,19271794,1,15,scenario1
S1_testm_1,60000001,2822831616,19414570,19411107,1,16,scenario1
S1_testm_1,60000001,3052750080,19730215,19727966,1,17,scenario1
S1_testm_1,60000001,3134370816,19092461,19090399,1,18,scenario1
S1_testm_1,60000001,3422749696,19048710,19046757,1,19,scenario1
S1_testm_1,60000001,3536143616,19072078,19069814,1,20,scenario1
S1_testm_1,60000001,3666493184,19051916,19049910,1,21,scenario1
S1_testm_1,60000001,3843868928,19127627,19125632,1,22,scenario1
S1_testm_1,60000001,3897209856,19054191,19052221,1,23,scenario1
S1_testm_1,60000001,3942669312,19138504,19136535,1,24,scenario1
S1_testm_1,60000001,3993895936,19080134,19078278,1,25,scenario1
S1_testm_1,60000001,4226437632,19249388,19247259,1,26,scenario1
S1_testm_1,60000001,4313671424,19054488,19052454,1,27,scenario1
S1_testm_1,60000001,4751110144,18900908,18899419,1,28,scenario1
S1_testm_1,60000001,4756697344,38750955,38748241,1,29,scenario1
S1_testm_1,60000001,4776907264,19036737,19021390,1,30,scenario1
S1_testm_1,60000001,4899249664,18851756,18850337,1,31,scenario1
S1_testm_1,60000001,4904487424,38385836,38383362,1,32,scenario1
S1_testm_1,60000001,4925663744,18931970,18930191,1,33,scenario1
S1_testm_1,60000001,5238101248,19041563,19039762,1,34,scenario1
S1_testm_1,60000001,5821132032,19796774,19794468,1,35,scenario1
S1_testm_1,60000001,6129836800,19093304,19091694,1,36,scenario1
S1_testm_1,60000001,6165207552,19021536,19019929,1,37,scenario1
S1_testm_1,60000001,6198452992,19021598,19019979,1,38,scenario1
