serviceName,nbIter,timestamp,totDurInServ,computeDur,parExec,totReqProcessed,scenario
S1_reprodcalib_3,1000000,0,500336,493797,0,0,scenario3
S1_reprodcalib_3,1000000,3000110080,314487,312856,0,1,scenario3
S1_reprodcalib_3,1000000,6000282368,314332,312838,0,2,scenario3
S1_reprodcalib_3,1000000,9000792832,428691,426639,0,3,scenario3
S1_reprodcalib_3,1000000,12001009664,315588,313372,0,4,scenario3
S1_reprodcalib_3,1000000,15001263360,383238,380228,0,5,scenario3
S1_reprodcalib_3,1000000,18001648128,314121,312786,0,6,scenario3
S1_reprodcalib_3,1000000,21001972480,314450,312844,0,7,scenario3
S1_reprodcalib_3,1000000,24002357504,417299,415546,0,8,scenario3
S1_reprodcalib_3,1000000,27002620672,314704,312861,0,9,scenario3
S1_reprodcalib_3,1000000,30003568896,685154,682189,0,10,scenario3
S1_reprodcalib_3,1000000,33003282944,314451,312848,0,11,scenario3
S1_reprodcalib_3,1000000,36003768064,503682,501760,0,12,scenario3
S1_reprodcalib_3,1000000,39003898624,382396,380491,0,13,scenario3
S1_reprodcalib_3,1000000,42004625408,345690,343488,0,14,scenario3
S1_reprodcalib_3,1000000,45004515840,354227,352318,0,15,scenario3
S1_reprodcalib_3,1000000,48004663296,314731,312896,0,16,scenario3
S1_reprodcalib_3,1000000,51005279232,314504,312867,0,17,scenario3
S1_reprodcalib_3,1000000,54006229504,580204,576673,0,18,scenario3
S1_reprodcalib_3,1000000,57006297856,463326,460123,0,19,scenario3
S1_reprodcalib_3,1000000,60006646784,464225,462244,0,20,scenario3
S1_reprodcalib_3,1000000,63006637312,335904,334143,0,21,scenario3
S1_reprodcalib_3,1000000,66006982656,337824,335893,0,22,scenario3
S1_reprodcalib_3,1000000,69007302656,360604,358252,0,23,scenario3
S1_reprodcalib_3,1000000,72007651328,349474,347562,0,24,scenario3
S1_reprodcalib_3,1000000,75007865856,340376,338642,0,25,scenario3
S1_reprodcalib_3,1000000,78008275456,355809,354150,0,26,scenario3
S1_reprodcalib_3,1000000,81008902144,494414,491388,0,27,scenario3
S1_reprodcalib_3,1000000,84008997376,343974,341930,0,28,scenario3
S1_reprodcalib_3,1000000,87009213952,426464,419617,0,29,scenario3
S1_reprodcalib_3,1000000,90009894912,590773,587968,0,30,scenario3
S1_reprodcalib_3,1000000,93009704704,375848,374333,0,31,scenario3
S1_reprodcalib_3,1000000,96010160896,341229,339288,0,32,scenario3
S1_reprodcalib_3,1000000,99010407680,358158,356344,0,33,scenario3
S1_reprodcalib_3,1000000,102010946816,358543,356601,0,34,scenario3
S1_reprodcalib_3,1000000,105011199488,340544,338803,0,35,scenario3
S1_reprodcalib_3,1000000,108011654656,355637,353820,0,36,scenario3
S1_reprodcalib_3,1000000,111011974656,350064,348285,0,37,scenario3
S1_reprodcalib_3,1000000,114012702976,529469,526322,0,38,scenario3
S1_reprodcalib_3,1000000,117012691200,438028,436405,0,39,scenario3
S1_reprodcalib_3,1000000,120012931072,337705,335826,0,40,scenario3
S1_reprodcalib_3,1000000,123013223168,335023,333266,0,41,scenario3
S1_reprodcalib_3,1000000,126013781760,436306,434019,0,42,scenario3
S1_reprodcalib_3,1000000,129013711872,336415,334250,0,43,scenario3
S1_reprodcalib_3,1000000,132014006528,352130,350224,0,44,scenario3
S1_reprodcalib_3,1000000,135014392576,335894,334177,0,45,scenario3
S1_reprodcalib_3,1000000,138014732800,337247,335395,0,46,scenario3
S1_reprodcalib_3,1000000,141015391232,516844,513725,0,47,scenario3
S1_reprodcalib_3,1000000,144016048896,540526,537102,0,48,scenario3
S1_reprodcalib_3,1000000,147015848192,349005,347242,0,49,scenario3
S1_reprodcalib_3,1000000,150016282112,335635,334167,0,50,scenario3
S1_reprodcalib_3,1000000,153016585216,336695,334938,0,51,scenario3
S1_reprodcalib_3,1000000,156016905216,336400,334459,0,52,scenario3
S1_reprodcalib_3,1000000,159017130240,338968,337068,0,53,scenario3
S1_reprodcalib_3,1000000,162017769216,336806,334933,0,54,scenario3
S1_reprodcalib_3,1000000,165018082560,543244,540217,0,55,scenario3
S1_reprodcalib_3,1000000,168018155520,361462,359585,0,56,scenario3
S1_reprodcalib_3,1000000,171018496512,335674,333978,0,57,scenario3
S1_reprodcalib_3,1000000,174018920448,336848,334491,0,58,scenario3
S1_reprodcalib_3,1000000,177019151872,336662,334893,0,59,scenario3
S1_reprodcalib_3,1000000,180019506688,376340,374603,0,60,scenario3
S1_reprodcalib_3,1000000,183019777024,339800,334045,0,61,scenario3
S1_reprodcalib_3,1000000,186020079616,341120,339135,0,62,scenario3
S1_reprodcalib_3,1000000,189020433664,336214,334062,0,63,scenario3
S1_reprodcalib_3,1000000,192020734208,335317,333500,0,64,scenario3
S1_reprodcalib_3,1000000,195021091840,336563,334806,0,65,scenario3
S1_reprodcalib_3,1000000,198022031104,469099,465951,0,66,scenario3
S1_reprodcalib_3,1000000,201022050048,342215,340026,0,67,scenario3
S1_reprodcalib_3,1000000,204022425856,341479,334791,0,68,scenario3
S1_reprodcalib_3,1000000,207022591488,335802,333872,0,69,scenario3
S1_reprodcalib_3,1000000,210023032832,335259,333762,0,70,scenario3
S1_reprodcalib_3,1000000,213023316480,336488,334731,0,71,scenario3
S1_reprodcalib_3,1000000,216023653632,359370,357364,0,72,scenario3
S1_reprodcalib_3,1000000,219023917312,337943,336133,0,73,scenario3
S1_reprodcalib_3,1000000,222024718592,576589,569473,0,74,scenario3
S1_reprodcalib_3,1000000,225024698112,335750,334012,0,75,scenario3
