serviceName,nbIter,timestamp,totDurInServ,computeDur,parExec,totReqProcessed,scenario
S1_reprodscen2_4,56000001,0,19369825,19365206,0,0,scenario2
S1_reprodscen2_4,56000001,19792384,19638661,19633985,0,0,scenario2
S1_reprodscen2_4,56000001,40276224,19290947,19289387,1,2,scenario2
S1_reprodscen2_4,56000001,285058560,21783412,21781786,1,3,scenario2
S1_reprodscen2_4,56000001,431956480,19353193,19351584,1,4,scenario2
S1_reprodscen2_4,56000001,770757888,18882434,18880941,1,5,scenario2
S1_reprodscen2_4,56000001,830313984,19189950,19188423,1,6,scenario2
S1_reprodscen2_4,56000001,1250198528,18932040,18930525,1,7,scenario2
S1_reprodscen2_4,56000001,1312077824,18692143,18690553,1,8,scenario2
S1_reprodscen2_4,56000001,1472473600,18817490,18815799,1,9,scenario2
S1_reprodscen2_4,56000001,1775121920,19121365,19119788,1,10,scenario2
S1_reprodscen2_4,56000001,1945430528,18105083,18103771,1,11,scenario2
S1_reprodscen2_4,56000001,1991754240,18176580,18175075,1,12,scenario2
S1_reprodscen2_4,56000001,2460449280,41714041,41712538,2,13,scenario2
S1_reprodscen2_4,56000001,2460530432,20692705,20691463,2,13,scenario2
S1_reprodscen2_4,56000001,2802899968,19540955,19539267,1,15,scenario2
S1_reprodscen2_4,56000001,2839445504,20833437,20831689,1,16,scenario2
S1_reprodscen2_4,56000001,3067853312,19971458,19969701,1,17,scenario2
S1_reprodscen2_4,56000001,3152601856,22428513,22426464,1,18,scenario2
S1_reprodscen2_4,56000001,3437929216,19465428,19463803,1,19,scenario2
S1_reprodscen2_4,56000001,3549928960,18097395,18096000,1,20,scenario2
S1_reprodscen2_4,56000001,3680256000,18263368,18261999,1,21,scenario2
S1_reprodscen2_4,56000001,3858997248,19829743,19828102,1,22,scenario2
S1_reprodscen2_4,56000001,3912705024,20203078,20201446,1,23,scenario2
S1_reprodscen2_4,56000001,3957150720,19251798,19250294,1,24,scenario2
S1_reprodscen2_4,56000001,4007716608,18826901,18825336,1,25,scenario2
