ts,qArr,instArr,startEx,endEx,flops,serv
4.000414,4.000000,4.000000,4.000000,4.000414,414200.000000,service1
4.000505,4.000414,4.000414,4.000414,4.000505,91000.000000,service2
7.000414,7.000000,7.000000,7.000000,7.000414,414200.000000,service1
7.000505,7.000414,7.000414,7.000414,7.000505,91000.000000,service2
10.000414,10.000000,10.000000,10.000000,10.000414,414200.000000,service1
10.000505,10.000414,10.000414,10.000414,10.000505,91000.000000,service2
13.000414,13.000000,13.000000,13.000000,13.000414,414200.000000,service1
13.000505,13.000414,13.000414,13.000414,13.000505,91000.000000,service2
16.000414,16.000000,16.000000,16.000000,16.000414,414200.000000,service1
16.000505,16.000414,16.000414,16.000414,16.000505,91000.000000,service2
19.000414,19.000000,19.000000,19.000000,19.000414,414200.000000,service1
19.000505,19.000414,19.000414,19.000414,19.000505,91000.000000,service2
22.000414,22.000000,22.000000,22.000000,22.000414,414200.000000,service1
22.000505,22.000414,22.000414,22.000414,22.000505,91000.000000,service2
25.000414,25.000000,25.000000,25.000000,25.000414,414200.000000,service1
25.000505,25.000414,25.000414,25.000414,25.000505,91000.000000,service2
28.000414,28.000000,28.000000,28.000000,28.000414,414200.000000,service1
28.000505,28.000414,28.000414,28.000414,28.000505,91000.000000,service2
31.000414,31.000000,31.000000,31.000000,31.000414,414200.000000,service1
31.000505,31.000414,31.000414,31.000414,31.000505,91000.000000,service2
34.000414,34.000000,34.000000,34.000000,34.000414,414200.000000,service1
34.000505,34.000414,34.000414,34.000414,34.000505,91000.000000,service2
37.000414,37.000000,37.000000,37.000000,37.000414,414200.000000,service1
37.000505,37.000414,37.000414,37.000414,37.000505,91000.000000,service2
40.000414,40.000000,40.000000,40.000000,40.000414,414200.000000,service1
40.000505,40.000414,40.000414,40.000414,40.000505,91000.000000,service2
43.000414,43.000000,43.000000,43.000000,43.000414,414200.000000,service1
43.000505,43.000414,43.000414,43.000414,43.000505,91000.000000,service2
46.000414,46.000000,46.000000,46.000000,46.000414,414200.000000,service1
46.000505,46.000414,46.000414,46.000414,46.000505,91000.000000,service2
49.000414,49.000000,49.000000,49.000000,49.000414,414200.000000,service1
49.000505,49.000414,49.000414,49.000414,49.000505,91000.000000,service2
52.000414,52.000000,52.000000,52.000000,52.000414,414200.000000,service1
52.000505,52.000414,52.000414,52.000414,52.000505,91000.000000,service2
55.000414,55.000000,55.000000,55.000000,55.000414,414200.000000,service1
55.000505,55.000414,55.000414,55.000414,55.000505,91000.000000,service2
58.000414,58.000000,58.000000,58.000000,58.000414,414200.000000,service1
58.000505,58.000414,58.000414,58.000414,58.000505,91000.000000,service2
61.000414,61.000000,61.000000,61.000000,61.000414,414200.000000,service1
61.000505,61.000414,61.000414,61.000414,61.000505,91000.000000,service2
64.000414,64.000000,64.000000,64.000000,64.000414,414200.000000,service1
64.000505,64.000414,64.000414,64.000414,64.000505,91000.000000,service2
67.000414,67.000000,67.000000,67.000000,67.000414,414200.000000,service1
67.000505,67.000414,67.000414,67.000414,67.000505,91000.000000,service2
70.000414,70.000000,70.000000,70.000000,70.000414,414200.000000,service1
70.000505,70.000414,70.000414,70.000414,70.000505,91000.000000,service2
73.000414,73.000000,73.000000,73.000000,73.000414,414200.000000,service1
73.000505,73.000414,73.000414,73.000414,73.000505,91000.000000,service2
76.000414,76.000000,76.000000,76.000000,76.000414,414200.000000,service1
76.000505,76.000414,76.000414,76.000414,76.000505,91000.000000,service2
79.000414,79.000000,79.000000,79.000000,79.000414,414200.000000,service1
79.000505,79.000414,79.000414,79.000414,79.000505,91000.000000,service2
82.000414,82.000000,82.000000,82.000000,82.000414,414200.000000,service1
82.000505,82.000414,82.000414,82.000414,82.000505,91000.000000,service2
85.000414,85.000000,85.000000,85.000000,85.000414,414200.000000,service1
85.000505,85.000414,85.000414,85.000414,85.000505,91000.000000,service2
88.000414,88.000000,88.000000,88.000000,88.000414,414200.000000,service1
88.000505,88.000414,88.000414,88.000414,88.000505,91000.000000,service2
91.000414,91.000000,91.000000,91.000000,91.000414,414200.000000,service1
91.000505,91.000414,91.000414,91.000414,91.000505,91000.000000,service2
94.000414,94.000000,94.000000,94.000000,94.000414,414200.000000,service1
94.000505,94.000414,94.000414,94.000414,94.000505,91000.000000,service2
97.000414,97.000000,97.000000,97.000000,97.000414,414200.000000,service1
97.000505,97.000414,97.000414,97.000414,97.000505,91000.000000,service2
100.000414,100.000000,100.000000,100.000000,100.000414,414200.000000,service1
100.000505,100.000414,100.000414,100.000414,100.000505,91000.000000,service2
103.000414,103.000000,103.000000,103.000000,103.000414,414200.000000,service1
