ts,qArr,instArr,startEx,endEx,flops,serv
0.462234,0.462000,0.462000,0.462000,0.462234,234400.000000,service1
0.489234,0.489000,0.489000,0.489000,0.489234,234400.000000,service1
0.731234,0.731000,0.731000,0.731000,0.731234,234400.000000,service1
0.880234,0.880000,0.880000,0.880000,0.880234,234400.000000,service1
1.219234,1.219000,1.219000,1.219000,1.219234,234400.000000,service1
1.278234,1.278000,1.278000,1.278000,1.278234,234400.000000,service1
1.698234,1.698000,1.698000,1.698000,1.698234,234400.000000,service1
1.760234,1.760000,1.760000,1.760000,1.760234,234400.000000,service1
1.920234,1.920000,1.920000,1.920000,1.920234,234400.000000,service1
2.222234,2.222000,2.222000,2.222000,2.222234,234400.000000,service1
2.393234,2.393000,2.393000,2.393000,2.393234,234400.000000,service1
2.439234,2.439000,2.439000,2.439000,2.439234,234400.000000,service1
2.884234,2.884000,2.884000,2.884000,2.884234,234400.000000,service1
2.886234,2.886000,2.886000,2.886000,2.886234,234400.000000,service1
3.248234,3.248000,3.248000,3.248000,3.248234,234400.000000,service1
3.283234,3.283000,3.283000,3.283000,3.283234,234400.000000,service1
3.512234,3.512000,3.512000,3.512000,3.512234,234400.000000,service1
3.594234,3.594000,3.594000,3.594000,3.594234,234400.000000,service1
3.882234,3.882000,3.882000,3.882000,3.882234,234400.000000,service1
3.995234,3.995000,3.995000,3.995000,3.995234,234400.000000,service1
4.125234,4.125000,4.125000,4.125000,4.125234,234400.000000,service1
4.302234,4.302000,4.302000,4.302000,4.302234,234400.000000,service1
4.355234,4.355000,4.355000,4.355000,4.355234,234400.000000,service1
4.400234,4.400000,4.400000,4.400000,4.400234,234400.000000,service1
4.451234,4.451000,4.451000,4.451000,4.451234,234400.000000,service1
4.683234,4.683000,4.683000,4.683000,4.683234,234400.000000,service1
4.770234,4.770000,4.770000,4.770000,4.770234,234400.000000,service1
5.193234,5.193000,5.193000,5.193000,5.193234,234400.000000,service1
5.203234,5.203000,5.203000,5.203000,5.203234,234400.000000,service1
5.232234,5.232000,5.232000,5.232000,5.232234,234400.000000,service1
5.340234,5.340000,5.340000,5.340000,5.340234,234400.000000,service1
5.350234,5.350000,5.350000,5.350000,5.350234,234400.000000,service1
5.380234,5.380000,5.380000,5.380000,5.380234,234400.000000,service1
5.692234,5.692000,5.692000,5.692000,5.692234,234400.000000,service1
6.274234,6.274000,6.274000,6.274000,6.274234,234400.000000,service1
6.583234,6.583000,6.583000,6.583000,6.583234,234400.000000,service1
6.618234,6.618000,6.618000,6.618000,6.618234,234400.000000,service1
6.651234,6.651000,6.651000,6.651000,6.651234,234400.000000,service1
6.684234,6.684000,6.684000,6.684000,6.684234,234400.000000,service1
6.703234,6.703000,6.703000,6.703000,6.703234,234400.000000,service1
6.833234,6.833000,6.833000,6.833000,6.833234,234400.000000,service1
6.999234,6.999000,6.999000,6.999000,6.999234,234400.000000,service1
7.183234,7.183000,7.183000,7.183000,7.183234,234400.000000,service1
7.184234,7.184000,7.184000,7.184000,7.184234,234400.000000,service1
7.280234,7.280000,7.280000,7.280000,7.280234,234400.000000,service1
7.476234,7.476000,7.476000,7.476000,7.476234,234400.000000,service1
7.493234,7.493000,7.493000,7.493000,7.493234,234400.000000,service1
7.561234,7.561000,7.561000,7.561000,7.561234,234400.000000,service1
7.836234,7.836000,7.836000,7.836000,7.836234,234400.000000,service1
7.858234,7.858000,7.858000,7.858000,7.858234,234400.000000,service1
7.920234,7.920000,7.920000,7.920000,7.920234,234400.000000,service1
8.159234,8.159000,8.159000,8.159000,8.159234,234400.000000,service1
8.296234,8.296000,8.296000,8.296000,8.296234,234400.000000,service1
8.574234,8.574000,8.574000,8.574000,8.574234,234400.000000,service1
8.580234,8.580000,8.580000,8.580000,8.580234,234400.000000,service1
8.600234,8.600000,8.600000,8.600000,8.600234,234400.000000,service1
8.643234,8.643000,8.643000,8.643000,8.643234,234400.000000,service1
8.776234,8.776000,8.776000,8.776000,8.776234,234400.000000,service1
8.800234,8.800000,8.800000,8.800000,8.800234,234400.000000,service1
8.877234,8.877000,8.877000,8.877000,8.877234,234400.000000,service1
8.887234,8.887000,8.887000,8.887000,8.887234,234400.000000,service1
