nbC,load,reqpersec
4,1,1
4,21,21
4,41,41
4,61,61
4,81,81
4,101,101
4,121,121
4,141,141
4,161,161
4,181,181
4,201,201
4,221,221
4,241,241
4,261,261
4,281,281
4,301,301
4,321,321
4,341,300
4,361,300
4,381,300
4,401,300
4,421,300
4,441,300
4,461,300
4,481,300
4,501,300
4,521,300
4,541,300
4,561,300
4,581,300
4,601,300
8,1,1
8,21,21
8,41,41
8,61,61
8,81,81
8,101,101
8,121,121
8,141,141
8,161,161
8,181,181
8,201,201
8,221,221
8,241,241
8,261,261
8,281,281
8,301,301
8,321,321
8,341,341
8,361,361
8,381,381
8,401,401
8,421,421
8,441,441
8,461,461
8,481,481
8,501,501
8,521,521
8,541,541
8,561,561
8,581,581
8,601,601
8,621,621
8,641,641
8,661,650
8,681,650
8,701,650
8,721,650
8,741,650
8,761,650
8,781,650
8,801,650
8,821,650
8,841,650
8,861,650
8,881,650
8,901,600
8,921,600
8,941,600
8,961,600
8,981,600
16,1,1
16,21,21
16,41,41
16,61,61
16,81,81
16,101,101
16,121,121
16,141,141
16,161,161
16,181,181
16,201,201
16,221,221
16,241,241
16,261,261
16,281,281
16,301,301
16,321,321
16,341,341
16,361,361
16,381,381
16,401,401
16,421,421
16,441,441
16,461,461
16,481,481
16,501,501
16,521,521
16,541,541
16,561,561
16,581,581
16,601,601
16,621,621
16,641,641
16,661,661
16,681,681
16,701,701
16,721,721
16,741,741
16,761,761
16,781,781
16,801,801
16,821,821
16,841,841
16,861,861
16,881,881
16,901,901
16,921,921
16,941,941
16,961,961
16,981,981
16,1001,1001
16,1021,1021
16,1041,1041
16,1061,1061
16,1081,1081
16,1101,1101
16,1121,1121
16,1141,1141
16,1161,1161
16,1181,1181
16,1201,1201
16,1221,1221
16,1241,1241
16,1261,1261
16,1281,1281
16,1301,1301
16,1321,1321
16,1341,1341
16,1361,1338
16,1381,1338
16,1401,1350
16,1421,1350
16,1441,1350
16,1461,1350
16,1481,1350
16,1501,1350
16,1521,1350
16,1541,1300
16,1561,1300
16,1581,1300
16,1601,1300
16,1621,1300
16,1641,1300
16,1661,1300
16,1681,1300
16,1701,1250
16,1721,1250
16,1741,1250
16,1761,1250
16,1781,1250
16,1801,1250
16,1821,1250
16,1841,1250
16,1861,1200
16,1881,1200
16,1901,1200
16,1921,1200
16,1941,1200
16,1961,1200
16,1981,1200
