serviceName serviceLocation executionRatio parDeg
nginx_web_server clempc 0.5 10
compose_post_service clempc 0.5 10
unique_id_service clemth.irisa.fr 0.5 10
media_service clemth.irisa.fr 0.5 10
user_service clemth.irisa.fr 0.5 10
text_service clemth.irisa.fr 0.5 10
user_mention_service clemth.irisa.fr 0.5 10
home_timeline_service clempc 0.5 10
social_graph_service clempc 0.5 10
user_timeline_service clempc 0.5 10
post_storage_service clempc 0.5 10
url_shorten_service clemth.irisa.fr 0.5 10
default clemth.irisa.fr 0.5 10
